Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     37.76     0.00        5     0.00     0.00  boost::asio::detail::epoll_reactor::deregister_descriptor(int, boost::asio::detail::epoll_reactor::descriptor_state*&, bool)
  0.00     37.76     0.00        5     0.00     0.00  boost::asio::detail::epoll_reactor::shutdown()
  0.00     37.76     0.00        5     0.00     0.00  boost::asio::detail::reactive_socket_service<boost::asio::ip::tcp>::shutdown()
  0.00     37.76     0.00        5     0.00     0.00  boost::asio::detail::reactive_socket_accept_op_base<boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>, boost::asio::ip::tcp>::do_assign()
  0.00     37.76     0.00        5     0.00     0.00  KillThread::killThread() const
  0.00     37.76     0.00        5     0.00     0.00  std::_Deque_base<std::shared_ptr<Runnable>, std::allocator<std::shared_ptr<Runnable> > >::_M_initialize_map(unsigned long)
  0.00     37.76     0.00        5     0.00     0.00  std::_Sp_counted_ptr_inplace<tcp::ConnectionDetails, std::allocator<tcp::ConnectionDetails>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        5     0.00     0.00  std::deque<std::shared_ptr<Runnable>, std::allocator<std::shared_ptr<Runnable> > >::_M_destroy_data_aux(std::_Deque_iterator<std::shared_ptr<Runnable>, std::shared_ptr<Runnable>&, std::shared_ptr<Runnable>*>, std::_Deque_iterator<std::shared_ptr<Runnable>, std::shared_ptr<Runnable>&, std::shared_ptr<Runnable>*>)
  0.00     37.76     0.00        5     0.00     0.00  std::deque<std::shared_ptr<Runnable>, std::allocator<std::shared_ptr<Runnable> > >::~deque()
  0.00     37.76     0.00        4     0.00     0.00  TaskController::Worker::~Worker()
  0.00     37.76     0.00        4     0.00     0.00  tcp::TcpAcceptor::findSession(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>&)
  0.00     37.76     0.00        4     0.00     0.00  tcp::TcpAcceptor::replyHeartbeat(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>&)
  0.00     37.76     0.00        4     0.00     0.00  tcp::readMsg(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>&, std::tuple<HEADERTYPE, unsigned long, unsigned long, COMPRESSORS, bool, STATUS>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     37.76     0.00        4     0.00     0.00  boost::asio::detail::socket_ops::sync_recv1(int, unsigned char, void*, unsigned long, int, boost::system::error_code&)
  0.00     37.76     0.00        4     0.00     0.00  Logger::~Logger()
  0.00     37.76     0.00        4     0.00     0.00  RunnableT<TaskController::Worker>::getNumberObjects() const
  0.00     37.76     0.00        4     0.00     0.00  RunnableT<TaskController::Worker>::getType() const
  0.00     37.76     0.00        4     0.00     0.00  std::filesystem::__cxx11::path::path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::filesystem::__cxx11::path>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::filesystem::__cxx11::path::format)
  0.00     37.76     0.00        4     0.00     0.00  std::__shared_ptr<TaskController::Worker, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<TaskController::Worker>, std::shared_ptr<TaskController>&>(std::_Sp_alloc_shared_tag<std::allocator<TaskController::Worker> >, std::shared_ptr<TaskController>&)
  0.00     37.76     0.00        4     0.00     0.00  std::_Sp_counted_ptr_inplace<TaskController::Worker, std::allocator<TaskController::Worker>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        4     0.00     0.00  std::_Sp_counted_ptr_inplace<TaskController::Worker, std::allocator<TaskController::Worker>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        3     0.00     0.00  bool const AppOptions::get<bool>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool const&)
  0.00     37.76     0.00        3     0.00     0.00  boost::property_tree::stream_translator<char, std::char_traits<char>, std::allocator<char>, bool>::get_value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        3     0.00     0.00  boost::optional<bool> boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::get_optional<bool>(boost::property_tree::string_path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::property_tree::id_translator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&) const
  0.00     37.76     0.00        3     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_e(char) const
  0.00     37.76     0.00        3     0.00     0.00  std::_Hashtable<std::basic_string_view<char, std::char_traits<char> >, std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > > >, std::__detail::_Select1st, std::equal_to<std::basic_string_view<char, std::char_traits<char> > >, std::hash<std::basic_string_view<char, std::char_traits<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
  0.00     37.76     0.00        2     0.00     6.70  ThreadPool::stop()
  0.00     37.76     0.00        2     0.00     0.00  Task::Task()
  0.00     37.76     0.00        2     0.00     0.00  fifo::FifoAcceptor::removeFifoFiles()
  0.00     37.76     0.00        2     0.00     0.00  fifo::FifoAcceptor::unblockAcceptor[abi:cxx11]()
  0.00     37.76     0.00        2     0.00     0.00  boost::asio::io_context::run()
  0.00     37.76     0.00        2     0.00     0.00  boost::asio::detail::scheduler::run(boost::system::error_code&)
  0.00     37.76     0.00        2     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_close_brace(char) const
  0.00     37.76     0.00        2     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_r(char) const
  0.00     37.76     0.00        2     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_u(char) const
  0.00     37.76     0.00        2     0.00     0.00  RunnableT<tcp::TcpSession>::getNumberObjects() const
  0.00     37.76     0.00        2     0.00     0.00  RunnableT<fifo::FifoSession>::getNumberObjects() const
  0.00     37.76     0.00        1     0.00     0.00  AppOptions::initialize()
  0.00     37.76     0.00        1     0.00     0.00  AppOptions::AppOptions(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  AppOptions::~AppOptions()
  0.00     37.76     0.00        1     0.00     0.00  MemoryPool::destroyBuffers()
  0.00     37.76     0.00        1     0.00     0.00  Chronometer::Chronometer(bool, std::basic_string_view<char, std::char_traits<char> >, int, std::basic_string_view<char, std::char_traits<char> >, std::ostream*)
  0.00     37.76     0.00        1     0.00     0.00  Chronometer::~Chronometer()
  0.00     37.76     0.00        1     0.00     0.00  Compression::isCompressionEnabled(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  ServerOptions::ServerOptions(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  TaskController::wakeupThreads()
  0.00     37.76     0.00        1     0.00    10.72  TaskController::start()
  0.00     37.76     0.00        1     0.00    10.72  TaskController::create(ServerOptions&)
  0.00     37.76     0.00        1     0.00     0.00  TaskController::TaskController(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  TaskController::~TaskController()
  0.00     37.76     0.00        1     0.00     0.00  StrategySelector::get(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  TransactionStrategy::start(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  TransactionStrategy::create(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  Ad::readAndSortAds(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpSession::checkCapacity()
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpSession::run()
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpSession::start()
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpSession::TcpSession(ServerOptions const&, std::shared_ptr<tcp::ConnectionDetails>, std::basic_string_view<char, std::char_traits<char> >)
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpSession::~TcpSession()
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpAcceptor::createSession(std::shared_ptr<tcp::ConnectionDetails>)
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpAcceptor::run()
  0.00     37.76     0.00        1     0.00     2.68  tcp::TcpAcceptor::start()
  0.00     37.76     0.00        1     0.00     0.00  tcp::TcpAcceptor::TcpAcceptor(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     2.68  tcp::TcpAcceptor::~TcpAcceptor()
  0.00     37.76     0.00        1     0.00     0.00  tcp::sendMsg(boost::asio::basic_stream_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>&, std::tuple<HEADERTYPE, unsigned long, unsigned long, COMPRESSORS, bool, STATUS> const&, std::basic_string_view<char, std::char_traits<char> >)
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoSession::checkCapacity()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoSession::stop()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoSession::start()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoSession::FifoSession(ServerOptions const&, std::basic_string_view<char, std::char_traits<char> >)
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoSession::~FifoSession()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoAcceptor::createSession()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoAcceptor::run()
  0.00     37.76     0.00        1     0.00     2.68  fifo::FifoAcceptor::start()
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoAcceptor::FifoAcceptor(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  fifo::FifoAcceptor::~FifoAcceptor()
  0.00     37.76     0.00        1     0.00     0.00  fifo::Fifo::onExit(std::basic_string_view<char, std::char_traits<char> >, int, int)
  0.00     37.76     0.00        1     0.00     0.00  void boost::property_tree::json_parser::detail::read_json_internal<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(std::basic_istream<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::key_type::value_type, std::char_traits<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::key_type> >&, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  void boost::property_tree::json_parser::detail::read_json_internal<std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, boost::property_tree::json_parser::detail::encoding<char>, boost::property_tree::json_parser::detail::standard_callbacks<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, boost::property_tree::json_parser::detail::encoding<char>&, boost::property_tree::json_parser::detail::standard_callbacks<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  boost::property_tree::json_parser::detail::parser<boost::property_tree::json_parser::detail::standard_callbacks<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::parse_object()
  0.00     37.76     0.00        1     0.00     0.00  boost::property_tree::json_parser::detail::parser<boost::property_tree::json_parser::detail::standard_callbacks<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, boost::property_tree::json_parser::detail::encoding<char>, std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >::finish()
  0.00     37.76     0.00        1     0.00     0.00  void boost::property_tree::json_parser::read_json<boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, boost::property_tree::basic_ptree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, std::locale const&)
  0.00     37.76     0.00        1     0.00     0.00  void boost::asio::basic_socket<boost::asio::ip::tcp, boost::asio::any_io_executor>::set_option<boost::asio::detail::socket_option::boolean<1, 2> >(boost::asio::detail::socket_option::boolean<1, 2> const&)
  0.00     37.76     0.00        1     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& boost::asio::ip::operator<< <char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, boost::asio::ip::address const&)
  0.00     37.76     0.00        1     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& boost::asio::ip::operator<< <char, std::char_traits<char>, boost::asio::ip::tcp>(std::basic_ostream<char, std::char_traits<char> >&, boost::asio::ip::basic_endpoint<boost::asio::ip::tcp> const&)
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::io_object_impl<boost::asio::detail::deadline_timer_service<boost::asio::detail::chrono_time_traits<std::chrono::_V2::steady_clock, boost::asio::wait_traits<std::chrono::_V2::steady_clock> > >, boost::asio::any_io_executor>::~io_object_impl()
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::execution_context::service* boost::asio::detail::service_registry::create<boost::asio::detail::deadline_timer_service<boost::asio::detail::chrono_time_traits<std::chrono::_V2::steady_clock, boost::asio::wait_traits<std::chrono::_V2::steady_clock> > >, boost::asio::io_context>(void*)
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::execution_context::service* boost::asio::detail::service_registry::create<boost::asio::detail::strand_executor_service, boost::asio::io_context>(void*)
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::deadline_timer_service<boost::asio::detail::chrono_time_traits<std::chrono::_V2::steady_clock, boost::asio::wait_traits<std::chrono::_V2::steady_clock> > >::deadline_timer_service(boost::asio::execution_context&)
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::strand_executor_service::create_implementation()
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::strand_executor_service::shutdown()
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::strand_executor_service::~strand_executor_service()
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::reactive_socket_service_base::do_open(boost::asio::detail::reactive_socket_service_base::base_implementation_type&, int, int, int, boost::system::error_code&)
  0.00     37.76     0.00        1     0.00     0.00  boost::uuids::detail::random_provider_base::get_random_bytes(void*, unsigned long)
  0.00     37.76     0.00        1     0.00     0.00  char* boost::uuids::to_chars<char*>(boost::uuids::uuid const&, char*)
  0.00     37.76     0.00        1     0.00     0.00  Logger::Logger(bool)
  0.00     37.76     0.00        1     0.00     0.00  Metrics::print(LOG_LEVEL, std::ostream&, bool)
  0.00     37.76     0.00        1     0.00     0.00  utility::getUniqueId[abi:cxx11]()
  0.00     37.76     0.00        1     0.00     0.00  void utility::split<std::basic_string_view<char, std::char_traits<char> >, std::vector<AdRow, std::allocator<AdRow> > >(std::basic_string_view<char, std::char_traits<char> > const&, std::vector<AdRow, std::allocator<AdRow> >&, char, int)
  0.00     37.76     0.00        1     0.00     0.00  utility::readFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<char, std::allocator<char> >&)
  0.00     37.76     0.00        1     0.00     5.36  Strategy::start(ServerOptions const&)
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<KillThread>::~RunnableT()
  0.00     37.76     0.00        1     0.00     0.00  void boost::property_tree::json_parser::detail::utf8_utf8_encoding::skip_introduction<std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> > >(std::istreambuf_iterator<char, std::char_traits<char> >&, std::istreambuf_iterator<char, std::char_traits<char> >) const
  0.00     37.76     0.00        1     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_a(char) const
  0.00     37.76     0.00        1     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_l(char) const
  0.00     37.76     0.00        1     0.00     0.00  boost::property_tree::json_parser::detail::external_ascii_superset_encoding::is_s(char) const
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::ip::address_v4::to_string[abi:cxx11]() const
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::ip::detail::endpoint::to_string[abi:cxx11]() const
  0.00     37.76     0.00        1     0.00     0.00  boost::asio::detail::reactive_socket_service<boost::asio::ip::tcp>::remote_endpoint(boost::asio::detail::reactive_socket_service<boost::asio::ip::tcp>::implementation_type const&, boost::system::error_code&) const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<tcp::TcpSession>::getType() const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<tcp::TcpAcceptor>::getNumberObjects() const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<tcp::TcpAcceptor>::getType() const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<fifo::FifoSession>::getType() const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<fifo::FifoAcceptor>::getNumberObjects() const
  0.00     37.76     0.00        1     0.00     0.00  RunnableT<fifo::FifoAcceptor>::getType() const
  0.00     37.76     0.00        1     0.00     0.00  std::_Hashtable<std::basic_string_view<char, std::char_traits<char> >, std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > > >, std::__detail::_Select1st, std::equal_to<std::basic_string_view<char, std::char_traits<char> > >, std::hash<std::basic_string_view<char, std::char_traits<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_erase(unsigned long, std::__detail::_Hash_node_base*, std::__detail::_Hash_node<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > >, true>*)
  0.00     37.76     0.00        1     0.00     0.00  std::_Deque_base<std::shared_ptr<Task>, std::allocator<std::shared_ptr<Task> > >::_M_initialize_map(unsigned long)
  0.00     37.76     0.00        1     0.00     0.00  std::__shared_ptr<fifo::FifoSession, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<fifo::FifoSession>, ServerOptions const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::_Sp_alloc_shared_tag<std::allocator<fifo::FifoSession> >, ServerOptions const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     37.76     0.00        1     0.00     0.00  std::unordered_map<std::basic_string_view<char, std::char_traits<char> >, std::vector<Ad, std::allocator<Ad> >, std::hash<std::basic_string_view<char, std::char_traits<char> > >, std::equal_to<std::basic_string_view<char, std::char_traits<char> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > > > >::erase(std::__detail::_Node_iterator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::vector<Ad, std::allocator<Ad> > >, false, true>)
  0.00     37.76     0.00        1     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<boost::asio::detail::strand_executor_service::strand_impl*>(boost::asio::detail::strand_executor_service::strand_impl*)
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr<boost::asio::detail::strand_executor_service::strand_impl*, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr<boost::asio::detail::strand_executor_service::strand_impl*, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  std::_Temporary_buffer<__gnu_cxx::__normal_iterator<AdRow*, std::vector<AdRow, std::allocator<AdRow> > >, AdRow>::_Temporary_buffer(__gnu_cxx::__normal_iterator<AdRow*, std::vector<AdRow, std::allocator<AdRow> > >, long)
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<KillThread, std::allocator<KillThread>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<TaskController, std::allocator<TaskController>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<TaskController, std::allocator<TaskController>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<tcp::TcpSession, std::allocator<tcp::TcpSession>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<tcp::TcpAcceptor, std::allocator<tcp::TcpAcceptor>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<fifo::FifoSession, std::allocator<fifo::FifoSession>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<fifo::FifoSession, std::allocator<fifo::FifoSession>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<fifo::FifoAcceptor, std::allocator<fifo::FifoAcceptor>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     37.76     0.00        1     0.00     0.00  std::_Sp_counted_ptr_inplace<fifo::FifoAcceptor, std::allocator<fifo::FifoAcceptor>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     37.76     0.00        1     0.00     0.00  void std::__uninitialized_construct_buf_dispatch<false>::__ucr<AdRow*, __gnu_cxx::__normal_iterator<AdRow*, std::vector<AdRow, std::allocator<AdRow> > > >(AdRow*, AdRow*, __gnu_cxx::__normal_iterator<AdRow*, std::vector<AdRow, std::allocator<AdRow> > >)
  0.00     37.76     0.00        1     0.00     0.00  std::deque<std::shared_ptr<Task>, std::allocator<std::shared_ptr<Task> > >::_M_destroy_data_aux(std::_Deque_iterator<std::shared_ptr<Task>, std::shared_ptr<Task>&, std::shared_ptr<Task>*>, std::_Deque_iterator<std::shared_ptr<Task>, std::shared_ptr<Task>&, std::shared_ptr<Task>*>)
  0.00     37.76     0.00        1     0.00     0.00  std::deque<std::shared_ptr<Task>, std::allocator<std::shared_ptr<Task> > >::~deque()
  0.00     37.76     0.00        1     0.00     0.00  std::vector<char, std::allocator<char> >::operator=(std::vector<char, std::allocator<char> > const&)
  0.00     37.76     0.00        1     0.00     0.00  void std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > > >::_M_construct_node<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::shared_ptr<tcp::TcpSession>&>(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::shared_ptr<tcp::TcpSession>&)
  0.00     37.76     0.00        1     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::weak_ptr<Runnable> > > >::_M_emplace_unique<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::shared_ptr<tcp::TcpSession>&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::shared_ptr<tcp::TcpSession>&)
